week_start,news_date,headline,repeat_count
2022-12-05 00:00:00,2022-12-11 00:00:00,12/11/2022: Snow day Sunday - NEWS10 ABC,5
2022-12-05 00:00:00,2022-12-11 00:00:00,Phys.org | Archive : 12/11/2022,12
2022-12-12 00:00:00,2022-12-12 00:00:00,"USNI News Fleet and Marine Tracker: Dec. 12, 2022",15
2022-12-12 00:00:00,2022-12-12 00:00:00,Jamaican Dollar Exchange Rates for 12/12/2022 (12 December 2022),5
2022-12-12 00:00:00,2022-12-15 00:00:00,"Weekly News Quiz: December 15, 2022 - CNN",4
2022-12-12 00:00:00,2022-12-16 00:00:00,"The Best New Movies And Shows On Netflix Today: December 16, 2022",16
2022-12-19 00:00:00,2022-12-21 00:00:00,British Pound Exchange Rates for 21/12/2022 (21 December 2022),11
2022-12-19 00:00:00,2022-12-24 00:00:00,Is the post office open on Christmas Eve 2022? Is there mail delivery? Does the mail run?,3
2022-12-19 00:00:00,2022-12-25 00:00:00,Euro Exchange Rates for 25/12/2022 (25 December 2022),8
2022-12-26 00:00:00,2022-12-27 00:00:00,"Saints at 49ers Week 12 Game Recap - November 27, 2022 - New Orleans Saints",9
2022-12-26 00:00:00,2022-12-31 00:00:00,Canadian Dollar Exchange Rates for 31/12/2022 (31 December 2022),10
2022-12-26 00:00:00,2023-01-01 00:00:00,Mexican Peso Exchange Rates for 01/01/2023 ( 1 January 2023),10
2023-01-02 00:00:00,2023-01-02 00:00:00,Canadian Dollar to US Dollar History: 2023 - Exchange Rates UK,16
2023-01-02 00:00:00,2023-01-02 00:00:00,Euro to US Dollar History: 2023 - Exchange Rates UK,11
2023-01-23 00:00:00,2023-01-24 00:00:00,2023 Oscars nominations: full list - Los Angeles Times,6
2023-01-23 00:00:00,2023-01-24 00:00:00,Oscar Nominees 2023: See the Full List - The New York Times,6
2023-01-23 00:00:00,2023-01-25 00:00:00,"What's News, Breaking: Wednesday, January 25, 2023 - Brooklyn Eagle",7
2023-01-23 00:00:00,2023-01-25 00:00:00,"January 25, 2023 - Voice of America",15
2023-01-23 00:00:00,2023-01-26 00:00:00,"January 26, 2023 - PBS NewsHour full episode",5
2023-01-23 00:00:00,2023-01-27 00:00:00,"Newsweek Magazine January 27, 2023 Issue",13
2023-01-23 00:00:00,2023-01-28 00:00:00,"Your Daily Work Horoscope for January 28, 2023",5
2023-01-23 00:00:00,2023-01-28 00:00:00,"Daily horoscope for January 28, 2023 – Chicago Tribune",16
2023-01-30 00:00:00,2023-02-04 00:00:00,CMT Awards 2023: The winners list | CNN,3
2023-01-30 00:00:00,2023-02-05 00:00:00,Grammys 2023: Winners List - The New York Times,5
2023-02-13 00:00:00,2023-02-17 00:00:00,"Today’s daily horoscope for Feb. 17, 2023 - nj.com",3
2023-02-13 00:00:00,2023-02-19 00:00:00,"The Shows: Sunday listings for Feb. 19, 2023 - POLITICO",8
2023-02-20 00:00:00,2023-02-26 00:00:00,"New names, major changes announced for the 2023 hurricane season - New York Post",3
2023-02-27 00:00:00,2023-02-27 00:00:00,"Stock Market Today: Dow, Nasdaq Close Higher - The Wall Street Journal",7
2023-03-27 00:00:00,2023-03-28 00:00:00,"Corrections: March 28, 2023 - The New York Times",5
2023-04-10 00:00:00,2023-04-14 00:00:00,US Dollar Exchange Rates for 14/04/2023 (14 April 2023),11
2023-08-21 00:00:00,2023-08-26 00:00:00,2023 NASCAR Cup Series Playoffs field set,4
2023-08-28 00:00:00,2023-08-28 00:00:00,See Powerball winning numbers for Aug. 28 - USA TODAY,4
2023-10-16 00:00:00,2023-10-16 00:00:00,Today’s news in 10 minutes - CNN,9
2023-11-06 00:00:00,2023-11-08 00:00:00,Indian Rupee Exchange Rates for 11/08/2023 (11 August 2023),6
2023-11-06 00:00:00,2023-11-09 00:00:00,"Veterans Day 2023 free meals, deals, discounts: IHOP, Dunkin', Lowe's",10
2024-07-01 00:00:00,2024-07-06 00:00:00,Billboard Hot 100™,10
2024-07-08 00:00:00,2024-07-10 00:00:00,"July 10, 2024, presidential debate and election news",5
2024-07-22 00:00:00,2024-07-26 00:00:00,"July 26, 2024, presidential campaign news | CNN Politics",5
2024-07-22 00:00:00,2024-07-27 00:00:00,"July 27, 2024, Olympics news and results - CNN",3
2024-07-29 00:00:00,2024-07-31 00:00:00,Business in Brief: 07/31/2024 | the BIZ | record-eagle.com,3
2024-11-04 00:00:00,2024-11-10 00:00:00,11/10/2024 Suns vs Kings Game Preview | Phoenix Suns - NBA.com,4
2024-11-11 00:00:00,2024-11-11 00:00:00,"Microsoft's big Windows 11 2024 Update is now available, here's what you need to know | Windows Central",5
2024-12-30 00:00:00,2024-12-30 00:00:00,Japanese Yen Exchange Rates for 30/12/2024 (30 December 2024),8
2025-01-27 00:00:00,2025-01-28 00:00:00,"January 28, 2025: Donald Trump presidency news",14
2025-01-27 00:00:00,2025-01-31 00:00:00,Swedish Krona Exchange Rates for 31/01/2025 (31 January 2025),3
2025-02-03 00:00:00,2025-02-03 00:00:00,Pakistani Rupee Exchange Rates for 02/03/2025 ( 2 March 2025),6
2025-02-24 00:00:00,2025-03-02 00:00:00,Indonesian Rupiah Exchange Rates for 03/02/2025 ( 3 February 2025),3
2025-03-10 00:00:00,2025-03-15 00:00:00,03/15/2025: Heavier Rain Arrives Late Tomorrow - NEWS10 ABC,3
